time,wx,wy,wz,turnRate,currAngle
48310,-5.93,0.18,8.11,6.53,6.89
48323,-5.61,1.77,7.30,6.61,6.98
48336,-2.18,0.19,7.05,6.65,7.07
48350,-2.42,0.63,6.60,6.65,7.15
48363,-2.42,0.63,6.60,6.64,7.24
48376,-2.42,0.63,6.60,6.64,7.33
48390,-2.42,0.63,6.60,6.63,7.42
48403,15.74,-2.04,-5.91,6.56,7.51
48416,11.28,-1.94,-4.83,6.39,7.59
48431,-0.14,0.08,-0.03,5.75,7.67
48444,6.42,-0.03,-3.37,5.51,7.74
48457,5.59,-1.42,-2.95,5.26,7.82
48471,5.09,0.11,-2.29,4.96,7.88
48484,2.44,0.13,-2.24,4.69,7.94
48497,2.88,0.59,-2.04,4.42,8.00
48510,2.57,0.45,-1.94,4.18,8.06
48524,2.57,0.45,-1.94,3.95,8.11
48537,2.57,0.45,-1.94,3.75,8.16
48550,3.38,-0.73,-2.86,3.66,8.21
48564,1.33,0.42,-1.42,3.44,8.26
48577,0.02,-1.71,-1.37,3.23,8.30
48590,-0.01,0.02,-0.03,2.91,8.34
48604,-0.04,0.09,-0.09,2.63,8.37
48617,0.39,-0.71,-1.12,2.48,8.41
48630,-0.03,0.11,-0.03,2.23,8.44
48644,-0.02,0.02,-0.08,2.02,8.46
48657,-18.21,3.10,11.36,2.95,8.50
48671,-18.21,3.10,11.36,3.79,8.55
48685,-18.21,3.10,11.36,4.55,8.62
48698,-14.64,2.51,10.95,5.19,8.69
48712,-1.86,0.10,5.87,5.26,8.76
48724,-0.82,0.30,5.55,5.29,8.83
48738,0.65,-1.63,5.45,5.30,8.90
48751,0.41,0.37,5.15,5.29,8.97
48764,0.98,-1.46,4.85,5.24,9.04
48778,0.89,0.09,4.25,5.14,9.11
48791,0.84,-0.73,4.08,5.04,9.17
48804,0.86,-0.24,3.88,4.92,9.24
48818,0.86,-0.24,3.88,4.82,9.30
48831,0.86,-0.24,3.88,4.72,9.36
48844,0.86,-0.24,3.88,4.64,9.42
48857,0.68,-0.67,3.05,4.48,9.48
48870,1.59,-0.44,3.00,4.33,9.54
48883,1.62,-0.61,3.00,4.20,9.60
48897,1.60,0.35,3.01,4.08,9.65
48910,4.77,-0.93,0.51,3.72,9.70
48923,3.11,-0.94,0.59,3.41,9.75
48936,3.08,0.45,0.73,3.14,9.79
48950,-0.14,0.07,-0.01,2.83,9.82
48963,1.80,-0.25,0.99,2.65,9.86
48976,1.80,-0.25,0.99,2.48,9.89
48990,1.80,-0.25,0.99,2.33,9.92
49003,-0.05,0.08,0.02,2.10,9.95
49016,-0.02,0.04,0.02,1.89,9.98
49030,25.00,-2.74,-16.07,3.31,10.02
49043,0.02,0.05,-0.05,2.98,10.06
49056,12.69,-1.38,-12.45,3.93,10.11
49071,9.79,-1.05,-10.96,4.63,10.18
49085,7.59,-1.14,-10.16,5.19,10.25
49098,5.84,-2.06,-9.43,5.61,10.33
49112,3.59,-0.27,-8.68,5.92,10.41
49125,3.59,-0.27,-8.68,6.19,10.49
49139,3.59,-0.27,-8.68,6.44,10.58
49153,3.59,-0.27,-8.68,6.66,10.67
49166,-0.11,0.04,0.02,6.00,10.75
49180,-1.60,0.31,2.40,5.64,10.83
49193,-1.24,-0.40,2.31,5.31,10.90
49207,0.53,0.15,2.27,5.00,10.97
49220,-0.38,-1.25,2.01,4.70,11.03
49233,0.30,0.24,2.05,4.44,11.09
49247,-0.57,-0.51,1.82,4.18,11.15
49260,0.63,0.20,1.80,3.94,11.20
49273,0.63,0.20,1.80,3.73,11.25
49287,0.63,0.20,1.80,3.53,11.30
49300,0.63,0.20,1.80,3.36,11.34
49313,-0.05,-0.02,-0.08,3.03,11.38
49328,-0.03,-0.07,-1.55,2.88,11.42
49341,-0.20,-0.75,-1.41,2.74,11.46
49355,1.28,0.01,-1.20,2.58,11.49
49369,0.50,-1.14,-1.11,2.44,11.53
49382,0.91,0.59,-1.02,2.29,11.56
49395,0.44,1.05,-1.05,2.17,11.59
49409,6.14,-0.41,-5.11,2.46,11.62
49422,4.70,-0.65,-5.03,2.72,11.66
49436,4.70,-0.65,-5.03,2.95,11.70
49449,4.70,-0.65,-5.03,3.16,11.74
49463,0.40,-0.41,-3.28,3.17,11.78
49477,0.65,0.27,-3.06,3.16,11.83
49490,-0.71,0.05,-3.02,3.15,11.87
49504,-0.62,-0.48,-2.98,3.13,11.91
49517,-0.01,-0.97,-2.77,3.09,11.95
49531,-0.03,-1.03,-1.98,2.98,11.99
49545,-0.59,0.10,-1.99,2.88,12.03
49558,-0.11,0.08,-0.14,2.61,12.07
49572,-0.62,-0.95,-1.97,2.54,12.10
49586,-0.62,-0.95,-1.97,2.49,12.14
49600,-0.62,-0.95,-1.97,2.44,12.17
49613,-0.07,0.08,-0.02,2.19,12.20
49627,-0.00,0.06,-1.82,2.16,12.23
49641,-0.06,0.05,-0.01,1.94,12.26
49654,-5.35,0.12,1.63,1.91,12.28
49668,-3.37,0.34,1.18,1.84,12.31
49681,-3.44,0.12,1.07,1.76,12.33
49694,-0.21,0.11,-0.03,1.59,12.35
49709,-0.64,-0.40,0.82,1.51,12.37
49722,-2.27,-0.29,0.66,1.43,12.39
49735,-2.27,-0.29,0.66,1.35,12.41
49748,-2.27,-0.29,0.66,1.28,12.43
49763,-2.27,-0.29,0.66,1.22,12.45
49776,-3.89,0.26,3.33,1.43,12.46
49789,-3.55,1.77,2.85,1.57,12.49
49803,-4.33,0.87,2.51,1.67,12.51
49816,-1.66,-0.36,2.44,1.74,12.53
49830,-1.25,0.04,2.21,1.79,12.56
49844,-0.12,0.13,-0.14,1.62,12.58
49857,-0.35,-0.76,1.96,1.66,12.60
49870,0.14,-0.17,1.98,1.69,12.62
49884,0.14,-0.17,1.98,1.72,12.65
49898,0.14,-0.17,1.98,1.75,12.67
49911,0.14,-0.17,1.98,1.77,12.69
49925,0.43,-0.62,-0.21,1.61,12.72
49938,0.28,0.63,-0.20,1.47,12.74
49951,-0.64,0.63,-0.31,1.36,12.75
49966,-0.02,-0.08,-0.17,1.24,12.77
49979,0.32,-1.26,-0.21,1.14,12.79
49992,-0.14,-0.84,-0.12,1.03,12.80
50007,0.23,0.13,-0.15,0.95,12.81
50020,0.28,0.34,-0.18,0.87,12.82
50033,-3.09,0.70,2.56,1.04,12.84
50046,-3.09,0.70,2.56,1.19,12.85
50060,-3.09,0.70,2.56,1.33,12.87
50073,0.01,0.05,-0.03,1.20,12.89
50086,-0.23,0.44,1.15,1.19,12.90
50100,-1.30,0.92,1.02,1.18,12.92
50114,-0.08,0.10,-0.13,1.07,12.93
50127,0.57,0.15,1.18,1.08,12.95
50141,0.69,1.16,1.02,1.08,12.96
50154,-2.30,0.62,3.57,1.33,12.98
50167,-1.87,0.52,3.07,1.50,13.00
50181,-0.95,0.62,3.01,1.65,13.02
50194,-0.95,0.62,3.01,1.79,13.05
50207,-0.95,0.62,3.01,1.91,13.07
50221,-0.95,0.62,3.01,2.02,13.10
50234,0.93,0.20,2.05,2.02,13.13
50247,-0.30,0.64,2.13,2.03,13.15
50262,-0.08,0.12,-0.01,1.83,13.18
50275,9.48,-0.43,-4.95,2.14,13.21
50288,6.07,-0.97,-3.98,2.33,13.24
50301,4.63,-0.41,-3.60,2.45,13.27
50316,0.00,0.03,-0.08,2.22,13.30
50329,3.36,0.38,-2.77,2.27,13.33
50342,3.36,0.38,-2.77,2.32,13.36
50356,3.36,0.38,-2.77,2.37,13.40
50369,3.36,0.38,-2.77,2.41,13.43
50382,0.71,0.88,-1.58,2.32,13.46
50396,-9.56,0.96,5.07,2.60,13.50
50409,-7.31,1.91,4.46,2.79,13.53
50422,-5.71,1.28,3.86,2.89,13.57
50437,-5.08,0.39,3.24,2.93,13.61
50450,-2.95,0.84,2.99,2.93,13.65
50463,-1.89,0.49,2.69,2.91,13.69
50477,-1.48,-0.12,2.64,2.88,13.73
50490,-1.36,0.26,2.55,2.85,13.77
50503,-1.36,0.26,2.55,2.82,13.80
50516,-1.36,0.26,2.55,2.79,13.84
50531,12.83,-1.31,-7.22,3.23,13.89
50544,0.32,-1.04,-3.50,3.26,13.93
50557,-1.03,0.18,-3.41,3.28,13.97
50572,-0.09,0.22,-3.19,3.27,14.02
50585,-0.45,0.68,-3.09,3.25,14.06
50598,-0.55,0.23,-3.01,3.23,14.11
50612,0.50,-0.04,-2.84,3.19,14.15
50626,-0.12,0.05,-0.06,2.87,14.19
50639,-0.44,0.62,-2.61,2.85,14.23
50653,-0.44,0.62,-2.61,2.82,14.27
50667,-0.44,0.62,-2.61,2.80,14.31
50680,-0.44,0.62,-2.61,2.78,14.34
50694,-0.59,-0.51,-0.46,2.55,14.38
50708,-0.98,-0.01,-0.66,2.36,14.41
50721,-0.15,0.08,-0.05,2.13,14.44
50735,-0.73,0.37,-0.64,1.98,14.47
50749,-1.53,0.16,-0.53,1.84,14.49
50762,-1.06,0.36,-0.78,1.73,14.51
50776,-0.03,0.08,-0.10,1.57,14.54
50789,2.38,-0.01,-3.37,1.75,14.56
50803,2.38,-0.01,-3.37,1.91,14.59
50817,2.38,-0.01,-3.37,2.05,14.61
50830,2.38,-0.01,-3.37,2.19,14.64
50844,0.96,0.24,-2.27,2.19,14.67
50857,-1.09,0.26,-2.20,2.20,14.70
50871,0.44,-0.30,-1.91,2.17,14.73
50884,-0.51,-0.70,-2.08,2.16,14.76
50898,-5.76,0.70,2.35,2.18,14.79
50912,-0.08,-0.02,0.01,1.96,14.82
50925,-4.49,-0.62,1.49,1.91,14.84
50938,-2.44,0.00,1.36,1.86,14.87
50952,-1.30,0.58,1.35,1.81,14.89
50966,-1.30,0.58,1.35,1.76,14.92
50979,-1.30,0.58,1.35,1.72,14.94
50993,-0.06,0.00,-0.03,1.55,14.96
51006,-0.55,0.17,0.50,1.45,14.98
51019,-0.27,0.09,0.55,1.36,15.00
51033,-12.45,0.97,9.45,2.17,15.03
51047,-0.07,0.08,0.02,1.95,15.05
51060,-0.08,0.05,-0.10,1.77,15.08
51074,-4.17,1.76,7.09,2.30,15.11
51087,-0.13,0.03,-0.02,2.07,15.14
51100,-2.65,0.84,6.46,2.51,15.17
51115,-2.65,0.84,6.46,2.90,15.21
51128,-2.65,0.84,6.46,3.26,15.25
51141,-1.57,1.01,6.27,3.56,15.30
51154,17.54,-1.69,-8.94,4.10,15.36
51168,13.30,-2.46,-7.31,4.42,15.42
51182,9.68,-1.31,-6.58,4.64,15.48
51195,-0.08,0.02,0.00,4.17,15.54
51209,-0.06,0.17,-0.18,3.77,15.59
51222,4.27,-0.51,-4.54,3.85,15.64
51236,-0.08,0.11,-0.11,3.48,15.69
51250,2.39,-1.98,-4.01,3.53,15.74
51263,2.39,-1.98,-4.01,3.58,15.79
51277,2.39,-1.98,-4.01,3.62,15.84
51291,2.39,-1.98,-4.01,3.66,15.88
51304,-1.53,0.90,3.64,3.66,15.93
51317,-1.02,1.15,3.46,3.64,15.98
51331,0.12,0.77,3.24,3.60,16.03
51344,-0.74,-0.71,3.16,3.55,16.08
51358,0.83,-0.86,3.00,3.50,16.13
51372,-0.01,1.17,2.87,3.44,16.17
51385,0.04,-0.17,-0.08,3.10,16.21
51398,-1.78,-4.11,4.36,3.23,16.26
51411,-1.78,-4.11,4.36,3.34,16.30
51426,-1.78,-4.11,4.36,3.44,16.35
51439,-1.78,-4.11,4.36,3.53,16.40
51452,15.11,-3.22,-8.04,3.98,16.45
51467,20.37,30.38,-0.97,3.68,16.50
51480,44.82,39.05,4.61,3.77,16.56
51493,-0.60,0.50,-0.66,3.46,16.60
51508,-12.12,19.14,0.71,3.19,16.65
51521,47.57,-33.52,-11.07,3.98,16.70
51535,-0.85,0.91,0.36,3.61,16.75
51549,3.20,16.62,-9.15,4.17,16.81
51562,1.34,19.43,-8.93,4.64,16.87
51576,1.34,19.43,-8.93,5.07,16.94
51590,1.34,19.43,-8.93,5.46,17.01
51603,-2.10,-7.59,-6.41,5.55,17.09
51617,20.51,-4.19,-4.83,5.48,17.16
51631,-0.64,0.24,-0.04,4.94,17.23
51644,-20.83,9.28,2.50,4.69,17.30
51658,1.32,-9.10,2.87,4.51,17.36
51672,-10.53,-8.03,-0.40,4.10,17.41
51685,-0.24,0.34,-0.81,3.77,17.47
51699,19.68,39.51,3.69,3.76,17.52
51713,-1.97,3.87,3.44,3.73,17.57
51726,-1.97,3.87,3.44,3.70,17.62
51739,-1.97,3.87,3.44,3.68,17.67
51752,-1.97,3.87,3.44,3.65,17.72
51766,2.44,31.44,1.88,3.48,17.76
51779,-10.84,35.34,3.22,3.45,17.81
51793,2.74,-0.86,3.32,3.44,17.86
51807,1.89,17.18,3.00,3.39,17.90
51820,15.97,0.39,3.62,3.42,17.95
51833,17.91,2.80,2.35,3.31,17.99
51847,-7.31,-25.33,1.46,3.12,18.03
51861,1.95,-2.61,2.05,3.02,18.08
51874,1.95,-2.61,2.05,2.92,18.11
51888,1.95,-2.61,2.05,2.83,18.15
51901,1.95,-2.61,2.05,2.75,18.19
51914,12.76,-3.39,-4.62,2.94,18.23
51929,46.69,17.11,-0.16,2.66,18.27
51942,-22.53,17.15,-3.34,2.73,18.30
51956,2.19,6.81,-3.05,2.76,18.34
51970,13.43,4.07,-3.04,2.79,18.38
51983,-2.51,30.71,-3.45,2.86,18.42
51997,1.03,-1.11,0.39,2.61,18.45
52011,1.50,-0.96,1.15,2.46,18.49
52024,13.56,4.55,-1.12,2.33,18.52
52037,13.56,4.55,-1.12,2.21,18.55
52050,13.56,4.55,-1.12,2.10,18.58
52065,-0.61,-9.08,2.26,2.11,18.61
52078,-10.73,6.24,0.67,1.97,18.63
52091,-3.35,1.68,0.45,1.82,18.66
52105,-8.52,8.32,-0.39,1.68,18.68
52119,-4.86,1.69,-0.78,1.59,18.70
52132,-5.36,-18.64,-0.88,1.52,18.72
52147,-9.78,0.93,4.89,1.85,18.75
52160,1.93,0.90,3.76,2.04,18.78
52173,12.06,3.73,3.47,2.19,18.80
52187,12.06,3.73,3.47,2.31,18.84
52200,12.06,3.73,3.47,2.43,18.87
52213,22.48,23.93,4.72,2.66,18.90
52227,-14.96,5.73,5.73,2.97,18.94
52241,-20.47,-25.16,4.71,3.14,18.99
52254,-0.63,0.69,0.71,2.90,19.03
52268,-1.98,20.21,6.56,3.26,19.07
52282,-27.56,15.51,2.75,3.21,19.11
52295,-15.05,10.57,2.62,3.15,19.16
52308,2.60,-31.86,4.38,3.27,19.20
52323,-2.77,-8.94,4.24,3.37,19.25
52336,-2.77,-8.94,4.24,3.46,19.30
52349,-2.77,-8.94,4.24,3.54,19.34
52364,-2.77,-8.94,4.24,3.61,19.39
52377,-0.69,1.05,4.10,3.66,19.44
52390,-0.92,-27.75,10.56,4.35,19.50
52405,-17.10,12.37,7.39,4.65,19.57
52418,-35.97,7.10,3.67,4.55,19.63
52431,-17.65,-4.41,3.95,4.49,19.69
52446,-14.38,-49.72,4.23,4.47,19.75
52459,-0.13,2.08,4.35,4.45,19.81
52472,-5.38,-5.57,4.95,4.50,19.87
52487,-5.38,-5.57,4.95,4.55,19.94
52500,-5.38,-5.57,4.95,4.59,20.00
52513,-5.38,-5.57,4.95,4.63,20.06
52528,5.86,-3.06,8.00,4.96,20.13
52541,4.77,-4.25,8.81,5.35,20.20
52554,1.74,2.20,3.44,5.16,20.27
52568,6.26,-4.59,7.20,5.36,20.34
52581,5.97,-4.03,8.11,5.64,20.42
52594,27.18,-8.50,10.09,6.08,20.50
52609,3.46,-4.52,11.49,6.62,20.59
52622,-8.94,-4.39,14.47,7.41,20.69
52635,-8.94,-4.39,14.47,8.11,20.80
52649,-8.94,-4.39,14.47,8.75,20.92
52663,-8.94,-4.39,14.47,9.32,21.05
52677,-5.74,-11.06,12.73,9.66,21.18
52690,8.91,-22.17,13.90,10.09,21.32
52705,15.14,-6.99,27.73,11.85,21.49
52718,22.36,-25.67,19.70,12.63,21.67
52732,33.50,-20.72,23.86,13.76,21.86
52747,31.78,-10.60,27.98,15.18,22.07
52761,14.66,-4.20,39.31,17.59,22.32
52774,11.80,3.01,37.94,19.63,22.60
52789,11.80,3.01,37.94,21.46,22.89
52802,11.80,3.01,37.94,23.11,23.21
52816,11.80,3.01,37.94,24.59,23.55
52830,26.62,10.18,47.32,26.86,23.92
52844,34.30,-5.34,49.55,29.13,24.32
52857,35.52,-9.79,51.65,31.38,24.76
52872,45.54,-3.58,53.10,33.56,25.23
52886,4.36,-6.13,61.00,36.30,25.74
52899,13.32,11.62,64.76,39.15,26.27
52914,11.35,21.44,62.03,41.43,26.85
52927,6.32,3.11,61.64,43.45,27.46
52941,6.32,3.11,61.64,45.27,28.07
52955,6.32,3.11,61.64,46.91,28.71
52968,6.32,3.11,61.64,48.38,29.37
52981,-2.94,-17.22,66.03,50.15,30.05
52996,14.31,-39.22,54.66,50.60,30.77
53010,0.91,-26.46,54.52,50.99,31.48
53024,-32.70,-3.86,83.87,54.28,32.24
53038,-50.50,-15.43,79.58,56.81,33.04
53052,-14.34,-18.20,74.26,58.55,33.88
53066,-68.98,-33.75,67.82,59.48,34.73
53081,-66.70,-35.48,64.64,60.00,35.59
53095,-66.70,-35.48,64.64,60.46,36.45
53109,-66.70,-35.48,64.64,60.88,37.32
53124,-78.64,-40.16,77.55,62.55,38.21
53138,6.67,-53.88,50.72,61.36,39.09
53152,29.24,4.13,85.44,63.77,39.98
53166,8.00,-27.02,75.53,64.95,40.87
53180,13.12,-13.94,75.27,65.98,41.79
53194,10.60,9.75,77.86,67.17,42.74
53208,26.28,25.09,80.13,68.46,43.68
53221,49.19,18.91,106.21,72.24,44.69
53235,75.59,18.74,75.91,72.61,45.71
53250,75.59,18.74,75.91,72.94,46.73
53263,75.59,18.74,75.91,73.23,47.75
53277,108.80,58.60,93.98,75.31,48.80
53292,93.80,33.28,87.19,76.50,49.88
53305,96.65,14.60,88.87,77.73,50.96
53319,100.43,8.83,90.43,79.00,52.06
53334,109.93,20.21,86.72,79.77,53.18
53348,23.12,14.88,109.41,82.74,54.34
53361,82.48,21.27,75.54,82.02,55.50
53376,66.75,9.11,73.62,81.18,56.63
53389,63.66,4.85,72.56,80.32,57.74
53403,63.66,4.85,72.56,79.54,58.83
53416,63.66,4.85,72.56,78.84,59.92
53431,49.01,33.77,70.42,78.00,60.99
53444,13.95,-13.98,74.78,77.68,62.08
53458,-21.17,-60.81,84.51,78.36,63.18
53473,-59.66,-44.75,81.11,78.64,64.30
53487,-36.64,-14.31,81.02,78.87,65.43
53501,-116.00,6.22,72.70,78.26,66.55
53516,-111.74,-32.93,77.05,78.14,67.65
53530,-98.74,-45.16,93.87,79.71,68.80
53544,-98.74,-45.16,93.87,81.12,69.96
53559,-98.74,-45.16,93.87,82.40,71.14
53573,-98.74,-45.16,93.87,83.55,72.33
53587,-20.79,-23.37,67.83,81.97,73.50
53602,-8.29,6.57,78.47,81.62,74.67
53615,-23.10,-17.21,67.30,80.19,75.77
53629,-54.40,12.58,69.18,79.09,76.90
53644,-53.21,29.81,86.55,79.84,78.03
53658,-34.21,-1.88,81.48,80.00,79.16
53671,-23.59,7.78,79.61,79.96,80.28
53686,-17.76,18.25,78.74,79.84,81.40
53700,-17.76,18.25,78.74,79.73,82.52
53713,-17.76,18.25,78.74,79.63,83.65
53728,19.46,38.31,77.39,79.41,84.77
53742,45.59,-1.07,57.81,77.25,85.84
53756,2.91,0.95,82.95,77.82,86.93
53770,39.75,22.90,87.98,78.83,88.00
53783,43.56,10.49,82.98,79.25,89.11
53797,-15.91,-7.36,82.66,79.59,90.21
53812,-46.51,31.07,86.33,80.26,91.35
53825,-63.00,21.50,87.29,80.97,92.49
53839,-63.81,22.03,87.94,81.66,93.64
53854,-63.81,22.03,87.94,82.29,94.80
53868,-63.81,22.03,87.94,82.86,95.97
53882,-18.88,-30.15,91.32,83.70,97.15
53897,-76.44,-23.32,104.85,85.82,98.38
53911,-13.02,-19.10,104.94,87.73,99.65
53925,-59.46,-54.79,107.95,89.75,100.94
53940,-47.08,-56.15,108.03,91.58,102.28
53954,-28.66,-50.63,106.98,93.12,103.64
53969,-7.82,-37.60,103.28,94.14,105.02
53984,-1.50,-33.11,100.46,94.77,106.39
53998,-1.50,-33.11,100.46,95.34,107.77
54012,-1.50,-33.11,100.46,95.85,109.15
54027,-1.50,-33.11,100.46,96.31,110.54
54041,24.42,-9.08,106.69,97.35,111.95
54055,47.86,14.98,104.72,98.09,113.35
54070,49.69,20.92,101.42,98.42,114.76
54084,79.24,24.66,99.93,98.57,116.16
54098,97.29,20.96,94.98,98.21,117.55
54113,93.72,4.24,89.33,97.32,118.92
54126,19.68,22.52,115.13,99.10,120.30
54140,57.19,6.59,82.51,97.44,121.70
54155,57.19,6.59,82.51,95.95,123.03
54168,57.19,6.59,82.51,94.61,124.35
54182,28.53,90.31,124.68,97.61,125.71
54197,-59.62,-5.29,104.53,98.30,127.12
54211,-35.21,6.04,112.79,99.75,128.56
54225,-99.19,3.17,104.62,100.24,129.99
54240,-99.51,14.32,106.83,100.90,131.45
54254,-95.39,8.24,107.87,101.60,132.93
54269,-32.34,52.68,139.75,105.41,134.46
54284,-29.57,25.69,131.23,107.99,136.04
54298,-29.57,25.69,131.23,110.32,137.65
54312,-29.57,25.69,131.23,112.41,139.29
54328,-29.57,25.69,131.23,114.29,140.96
54342,-15.45,-7.76,111.89,114.05,142.63
54356,29.95,22.93,98.47,112.49,144.27
54371,25.34,23.37,112.17,112.46,145.88
54385,62.07,27.03,109.64,112.18,147.50
54400,90.52,35.11,127.71,113.73,149.15
54414,105.48,22.27,121.59,114.52,150.80
54429,42.73,6.51,108.85,113.95,152.47
54444,35.00,35.49,106.88,113.24,154.08
54458,35.00,35.49,106.88,112.61,155.71
54472,35.00,35.49,106.88,112.03,157.33
54487,-3.74,16.86,81.85,109.02,158.90
54501,-5.15,25.70,79.41,106.05,160.42
54515,39.13,39.16,100.55,105.50,161.93
54530,-14.28,47.48,87.37,103.69,163.42
54544,6.02,49.53,86.11,101.93,164.90
54558,-30.38,37.31,79.71,99.71,166.30
54573,-77.24,38.06,73.09,97.05,167.69
54587,-103.96,51.75,68.27,94.17,169.03
54601,-103.96,51.75,68.27,91.58,170.36
54616,-103.96,51.75,68.27,89.25,171.65
54630,-103.96,51.75,68.27,87.15,172.91
54644,-6.00,-17.29,93.90,87.83,174.18
54659,-37.64,22.21,86.72,87.72,175.43
54673,-29.96,48.67,85.41,87.48,176.68
54687,-35.60,24.78,81.09,86.85,177.92
54702,5.42,2.13,81.54,86.31,179.15
54715,-1.78,7.61,76.08,85.29,180.32



